Date,NAV
2020-01-31,100.8
2020-02-29,102.0096
2020-03-31,101.70357120000003
2020-04-30,102.72060691200002
2020-05-31,103.33693055347202
2020-06-30,104.16362599789979
2020-07-31,105.41358950987458
2020-08-31,105.09734874134496
2020-09-30,106.1483222287584
2020-10-31,106.78521216213095
2020-11-30,107.63949385942799
2020-12-31,108.93116778574112
2021-01-31,108.6043742823839
2021-02-28,109.69041802520773
2021-03-31,110.34856053335898
2021-04-30,111.23134901762586
2021-05-31,112.56612520583738
2021-06-30,112.22842683021985
2021-07-31,113.35071109852205
2021-08-31,114.0308153651132
2021-09-30,114.9430618880341
2021-10-31,116.32237863069051
2021-11-30,115.97341149479843
2021-12-31,117.1331456097464
2022-01-31,117.83594448340489
2022-02-28,118.77863203927213
2022-03-31,120.20397562374339
2022-04-30,119.84336369687216
2022-05-31,121.04179733384089
2022-06-30,121.76804811784392
2022-07-31,122.74219250278666
2022-08-31,124.21509881282012
2022-09-30,123.84245351638165
2022-10-31,125.08087805154547
2022-11-30,125.83136331985474
2022-12-31,126.83801422641359
2023-01-31,128.36007039713056
2023-02-28,127.97499018593916
2023-03-31,129.25474008779855
2023-04-30,130.03026852832537
2023-05-31,131.07051067655195
2023-06-30,132.6433568046706
2023-07-31,132.24542673425657
2023-08-31,133.56788100159912
2023-09-30,134.36928828760873
2023-10-31,135.4442425939096
2023-11-30,137.0695735050365
2023-12-31,136.6583647845214
2024-01-31,138.0249484323666
2024-02-29,138.8530981229608
2024-03-31,139.9639229079445
2024-04-30,141.6434899828398
2024-05-31,141.21855951289132
2024-06-30,142.63074510802022
2024-07-31,143.48652957866835
2024-08-31,144.63442181529769
2024-09-30,146.37003487708128
2024-10-31,145.93092477245003
2024-11-30,147.39023402017452
2024-12-31,148.2745754242956
2025-01-31,149.46077202768996
2025-02-28,151.2543012920222
2025-03-31,150.80053838814615
2025-04-30,152.30854377202763
2025-05-31,153.2223950346598
2025-06-30,154.44817419493708
2025-07-31,156.30155228527633
2025-08-31,155.83264762842052
2025-09-30,157.3909741047047
2025-10-31,158.33531994933296
2025-11-30,159.6020025089276
2025-12-31,161.51722653903474
2026-01-31,161.03267485941763
2026-02-28,162.64300160801182
2026-03-31,163.6188596176599
2026-04-30,164.92781049460118
2026-05-31,166.9069442205364
2026-06-30,166.40622338787477
2026-07-31,168.0702856217535
2026-08-31,169.078707335484
2026-09-30,170.4313369941679
2026-10-31,172.47651303809792
2026-11-30,171.95908349898363
2026-12-31,173.67867433397348
2027-01-31,174.72074637997733
2027-02-28,176.11851235101713
2027-03-31,178.23193449922937
2027-04-30,177.69723869573167
2027-05-31,179.47421108268898
2027-06-30,180.5510563491851
2027-07-31,181.99546479997858
2027-08-31,184.17941037757834
2027-09-30,183.6268721464456
2027-10-31,185.46314086791006
2027-11-30,186.57591971311754
2027-12-31,188.06852707082246
2028-01-31,190.32534939567233
2028-02-29,189.75437334748534
2028-03-31,191.65191708096017
2028-04-30,192.80182858344594
