Date,NAV
2020-01-31,101.0
2020-02-29,103.02
2020-03-31,102.5049
2020-04-30,104.0424735
2020-05-31,104.87481328799998
2020-06-30,105.92356142087999
2020-07-31,108.0420326492976
2020-08-31,107.50182248605111
2020-09-30,109.11434982334187
2020-10-31,109.9872646219286
2020-11-30,111.0871372681479
2020-12-31,113.30888001351084
2021-01-31,112.74233561344329
2021-02-28,114.43347064764492
2021-03-31,115.3489384128261
2021-04-30,116.50242779695436
2021-05-31,118.83247635289345
2021-06-30,118.23831397112899
2021-07-31,120.0118886806959
2021-08-31,120.97198379014146
2021-09-30,122.18170362804288
2021-10-31,124.62533770060374
2021-11-30,124.00221101210072
2021-12-31,125.86224417728222
2022-01-31,126.86914213070048
2022-02-28,128.1378335520075
2022-03-31,130.70059022304764
2022-04-30,130.0470872719324
2022-05-31,131.9977935810114
2022-06-30,133.05377592965948
2022-07-31,134.38431368895607
2022-08-31,137.0719999627352
2022-09-30,136.38663996292152
2022-10-31,138.43243956236535
2022-11-30,139.5398990788643
2022-12-31,140.93529806965293
2023-01-31,143.75400403104598
2023-02-28,143.03523401089075
2023-03-31,145.1807625210541
2023-04-30,146.34220862122254
2023-05-31,147.80563070743474
2023-06-30,150.76174332158345
2023-07-31,150.00793460497553
2023-08-31,152.25805362405015
2023-09-30,153.47611805304254
2023-10-31,155.01087923357295
2023-11-30,158.11109681824442
2023-12-31,157.3205413341532
2024-01-31,159.68034945416548
2024-02-29,160.9577922497988
2024-03-31,162.56737017229682
2024-04-30,165.81871757574277
2024-05-31,164.98962398786406
2024-06-30,167.46446834768201
2024-07-31,168.80418409446347
2024-08-31,170.4922259354081
2024-09-30,173.90207045411628
2024-10-31,173.0325601018457
2024-11-30,175.62804850337338
2024-12-31,177.03307289140037
2025-01-31,178.80340362031438
2025-02-28,182.37947169272067
2025-03-31,181.46757433425705
2025-04-30,184.1895879492709
2025-05-31,185.66310465286506
2025-06-30,187.51973569939372
2025-07-31,191.2701304133816
2025-08-31,190.31377976131466
2025-09-30,193.16848645773436
2025-10-31,194.71383434939625
2025-11-30,196.6609726928902
2025-12-31,200.59419214674801
2026-01-31,199.59122118601428
2026-02-28,202.58508950380448
2026-03-31,204.2057702198349
2026-04-30,206.24782792203325
2026-05-31,210.3727844804739
2026-06-30,209.32092055807155
2026-07-31,212.46073436644258
2026-08-31,214.16042024137414
2026-09-30,216.30202444378787
2026-10-31,220.62806493266365
2026-11-30,219.52492460800036
2026-12-31,222.81779847712033
2027-01-31,224.6003408649373
2027-02-28,226.84634427358668
2027-03-31,231.38327115905844
2027-04-30,230.22635480326312
2027-05-31,233.67975012531207
2027-06-30,235.54918812631453
2027-07-31,237.9046800075777
2027-08-31,242.66277360772924
2027-09-30,241.44945973969055
2027-10-31,245.07120163578588
2027-11-30,247.0317712488722
2027-12-31,249.50208896136093
2028-01-31,254.49213074058815
2028-02-29,253.21967008688523
2028-03-31,257.0179651381885
2028-04-30,259.07410885929403
